Timestamp,MÊS,ITEM,CATEGORIA,VALOR,O GASTO FOI URGENTE?,FORMA DE PAGAMENTO,GANHO
12/26/2023 15:42:48,ABR,sabadinho,BEM ESTAR,57,NÃO,DÉBITO,
12/26/2023 15:43:13,ABR,spotify,BEM ESTAR,57,FOI PARA MEU BEM ESTAR,PIX,
12/26/2023 15:43:32,ABR,salgado,COMIDA,12,NÃO,DÉBITO,
12/26/2023 15:49:43,MAIO,créditos,NECESSÁRIO,40,SIM,PIX,
12/26/2023 15:50:06,MAIO,spotify,BEM ESTAR,10,NÃO,PIX,
12/26/2023 15:50:37,MAIO,passagens,TRANSPORTE,55,SIM,DINHEIRO,
12/26/2023 15:51:03,MAIO,brownie,COMIDA,9,NÃO,PIX,
12/26/2023 15:51:26,MAIO,praia,BEM ESTAR,25,FOI PARA MEU BEM ESTAR,DÉBITO,
12/26/2023 15:51:44,MAIO,uber,TRANSPORTE,10,FOI PARA MEU BEM ESTAR,PIX,
12/26/2023 15:52:06,MAIO,aniversario de king,BEM ESTAR,34,NÃO,DÉBITO,
12/26/2023 15:52:31,MAIO,uber,TRANSPORTE,9,SIM,PIX,555
12/26/2023 15:53:01,MAIO,presente de mãe,BEM ESTAR,126,NÃO,PIX,
12/26/2023 15:53:34,MAIO,celular,,48,NÃO,DÉBITO,50
12/26/2023 15:54:11,MAIO,uber,TRANSPORTE,10,SIM,DINHEIRO,
12/26/2023 15:54:35,MAIO,almoço,COMIDA,8.5,NÃO,PIX,8
12/26/2023 15:55:06,MAIO,quadros,BEM ESTAR,25,FOI PARA MEU BEM ESTAR,DÉBITO,
12/26/2023 15:55:41,MAIO,maytê,,18,NÃO,PIX,100
12/26/2023 15:56:17,MAIO,aniversario de linda,,83,NÃO,PIX,
12/26/2023 15:56:37,MAIO,almoço,COMIDA,9.5,NÃO,DÉBITO,
12/26/2023 15:57:09,MAIO,bebidas,BEM ESTAR,94,NÃO,PIX,100
12/26/2023 15:57:43,MAIO,créditos da minha mãe,NECESSÁRIO,38,SIM,PIX,
12/26/2023 15:58:02,MAIO,cinema,BEM ESTAR,68,FOI PARA MEU BEM ESTAR,DÉBITO,
12/26/2023 15:58:26,MAIO,sabadinho,BEM ESTAR,55,NÃO,DÉBITO,
12/26/2023 15:58:56,MAIO,Namorado,NECESSÁRIO,34,NÃO,PIX,
12/26/2023 15:59:17,MAIO,uber,TRANSPORTE,28,FOI PARA MEU BEM ESTAR,PIX,
12/26/2023 15:59:37,MAIO,lanche,COMIDA,6,NÃO,DÉBITO,
12/26/2023 15:59:59,MAIO,alternativo,TRANSPORTE,6,FOI PARA MEU BEM ESTAR,DINHEIRO,
12/26/2023 16:14:08,JUN,créditos,NECESSÁRIO,80,SIM,PIX,
12/26/2023 16:14:54,JUN,spotify,BEM ESTAR,10,NÃO,PIX,555
12/26/2023 16:15:14,JUN,passagens,TRANSPORTE,30,SIM,DINHEIRO,
12/26/2023 16:15:37,JUN,emprestimo,,50,SIM,PIX,
12/26/2023 16:16:00,JUN,emprestimo,,15,SIM,DINHEIRO,
12/26/2023 16:16:20,JUN,almoço,COMIDA,5.3,NÃO,DÉBITO,
12/26/2023 16:16:47,JUN,uber,TRANSPORTE,15,FOI PARA MEU BEM ESTAR,PIX,100
12/26/2023 16:17:17,JUN,sorvete,COMIDA,12,NÃO,DÉBITO,
12/26/2023 16:17:33,JUN,fone,BEM ESTAR,11,NÃO,DINHEIRO,
12/26/2023 16:17:55,JUN,uber,TRANSPORTE,38,NÃO,PIX,27
12/26/2023 16:18:19,JUN,emprestimo,NECESSÁRIO,70,SIM,PIX,
12/26/2023 16:18:38,JUN,lanche,COMIDA,9,NÃO,DÉBITO,
12/26/2023 16:18:59,JUN,uber,TRANSPORTE,25,NÃO,PIX,
12/26/2023 16:19:21,JUN,uber,TRANSPORTE,11,NÃO,PIX,100
12/26/2023 16:19:43,JUN,uber,TRANSPORTE,30,SIM,PIX,
12/26/2023 16:20:06,JUN,uber,TRANSPORTE,9,SIM,PIX,
12/26/2023 16:20:28,JUN,cabelo,NECESSÁRIO,130,FOI PARA MEU BEM ESTAR,PIX,
12/26/2023 16:20:47,JUN,uber,TRANSPORTE,9,NÃO,PIX,
12/26/2023 16:21:09,JUN,emprestimo,NECESSÁRIO,6,SIM,DINHEIRO,
12/26/2023 16:21:54,JUN,alternativo,TRANSPORTE,4,NÃO,DINHEIRO,
12/26/2023 16:22:12,JUN,uber,TRANSPORTE,35,FOI PARA MEU BEM ESTAR,PIX,
12/26/2023 16:22:39,JUN,farmacia,NECESSÁRIO,46,NÃO,DÉBITO,
12/26/2023 16:22:58,JUN,farmacia,BEM ESTAR,25,FOI PARA MEU BEM ESTAR,DÉBITO,
12/26/2023 16:23:17,JUN,livros,,30,NÃO,DÉBITO,
12/26/2023 16:23:40,JUN,pessoal,BEM ESTAR,65,FOI PARA MEU BEM ESTAR,DÉBITO,
12/26/2023 16:23:56,JUN,uber,TRANSPORTE,20,NÃO,PIX,
12/26/2023 16:24:21,JUN,curso udemy,FACULDADE,35,NÃO,PIX,100
12/26/2023 16:24:42,JUN,tests,FACULDADE,37,NÃO,PIX,
12/30/2023 17:35:04,JUL,material,FACULDADE,5,NÃO,DINHEIRO,
12/30/2023 17:35:34,JUL,carteira de estudante,NECESSÁRIO,30,SIM,DINHEIRO,10
12/30/2023 17:36:01,JUL,passagens,TRANSPORTE,30,SIM,DINHEIRO,
12/30/2023 17:36:17,JUL,lanche ,COMIDA,55,FOI PARA MEU BEM ESTAR,DÉBITO,
12/30/2023 17:36:44,JUL,uber,TRANSPORTE,17,FOI PARA MEU BEM ESTAR,PIX,70
12/30/2023 17:37:32,JUL,Lanche,COMIDA,46.25,FOI PARA MEU BEM ESTAR,DÉBITO,
12/30/2023 17:37:58,JUL,créditos,NECESSÁRIO,40,SIM,PIX,
12/30/2023 17:38:25,JUL,encontro,BEM ESTAR,52,NÃO,PIX,
12/30/2023 17:39:06,JUL,livro,BEM ESTAR,5.9,NÃO,PIX,20
12/30/2023 17:39:26,JUL,lanche,COMIDA,34,NÃO,DÉBITO,
12/30/2023 17:39:44,JUL,passagens,TRANSPORTE,20,SIM,DINHEIRO,
12/30/2023 17:40:07,JUL,BK,COMIDA,30.8,NÃO,DÉBITO,
12/30/2023 17:40:36,JUL,passeio,BEM ESTAR,15,NÃO,DÉBITO,20
12/30/2023 17:41:39,JUL,cinema,BEM ESTAR,14,NÃO,DÉBITO,
12/30/2023 17:41:58,JUL,uber,TRANSPORTE,12.46,FOI PARA MEU BEM ESTAR,PIX,
12/30/2023 17:42:39,JUL,lanche,COMIDA,6,NÃO,DÉBITO,
12/30/2023 17:43:11,JUL,bebida,COMIDA,12,FOI PARA MEU BEM ESTAR,DÉBITO,20
12/30/2023 17:27:39,JUL,Spotify,BEM ESTAR,10,NÃO,PIX,
12/30/2023 17:28:11,JUL,Protetor solar,NECESSÁRIO,25,SIM,DÉBITO,
12/30/2023 17:28:46,JUL,Bolsa,FACULDADE,110,SIM,DÉBITO,555
12/30/2023 17:29:21,JUL,água,COMIDA,8,SIM,DÉBITO,
12/30/2023 17:29:54,JUL,Consulta Médica,NECESSÁRIO,130,SIM,DÉBITO,100
12/30/2023 17:30:28,JUL,DIU,NECESSÁRIO,860,SIM,PIX,
12/30/2023 17:30:53,JUL,Rémedio,BEM ESTAR,27,NÃO,DÉBITO,
12/30/2023 17:31:35,JUL,uber,TRANSPORTE,40,NÃO,PIX,
12/30/2023 17:31:51,JUL,uber,TRANSPORTE,9,NÃO,PIX,
12/30/2023 17:32:39,JUL,cabelo,BEM ESTAR,100,NÃO,PIX,
12/30/2023 17:32:13,JUL,uber,TRANSPORTE,23,NÃO,PIX,16
12/30/2023 17:48:18,AGO,sorvete,COMIDA,3.5,NÃO,PIX,
12/30/2023 17:48:34,AGO,xerox,FACULDADE,3.5,NÃO,PIX,
12/30/2023 17:48:51,AGO,lanche,COMIDA,5,NÃO,DÉBITO,35
12/30/2023 17:49:15,AGO,passagens,TRANSPORTE,100,SIM,DINHEIRO,
12/30/2023 17:49:52,AGO,lanche,COMIDA,8,NÃO,DÉBITO,35
